fuel,factor,effect_column,level,effect_cent_l,provisional_effect_cent_l,raw_effect_cent_l,n_obs,n_stations,confidence,status,constraint_applied,shrinkage_stations,is_active,role
SP95,code_departement,department_effect_cent_l,02,0.019345877245636734,0.019345877245636734,0.03970995855683329,542,38,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
SP95,code_departement,department_effect_cent_l,03,0.27193656597211824,0.27193656597211824,0.5438731319442365,556,40,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
SP95,code_departement,department_effect_cent_l,04,1.2377777076548218,1.2377777076548218,3.488282630663589,242,22,LOW,ESTIMATED,NONE,40.0,True,ACTIVE
SP95,code_departement,department_effect_cent_l,05,0.7659445605393398,0.7659445605393398,2.224886580614273,318,21,LOW,ESTIMATED,NONE,40.0,True,ACTIVE
SP95,code_departement,department_effect_cent_l,06,0.6130484899963305,0.6130484899963305,1.258362689992468,421,38,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
SP95,code_departement,department_effect_cent_l,07,1.015553771507211,1.015553771507211,2.057147383309479,674,39,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
SP95,code_departement,department_effect_cent_l,08,0.058327361497392906,0.058327361497392906,0.16437710967447092,275,22,LOW,ESTIMATED,NONE,40.0,True,ACTIVE
SP95,code_departement,department_effect_cent_l,09,0.3228197472806267,0.3228197472806267,1.3161112773748627,199,13,LOW,ESTIMATED,NONE,40.0,True,ACTIVE
SP95,code_departement,department_effect_cent_l,10,0.5489649947843503,0.5489649947843503,1.214377109674472,493,33,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
SP95,code_departement,department_effect_cent_l,11,0.19001157674601266,0.19001157674601266,0.47151020896232776,378,27,LOW,ESTIMATED,NONE,40.0,True,ACTIVE
SP95,code_departement,department_effect_cent_l,12,0.08348077776285967,0.08348077776285967,0.1453183909205335,913,54,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
SP95,code_departement,department_effect_cent_l,13,-0.3934028731933068,-0.3934028731933068,-0.5853067137754077,1011,82,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
SP95,code_departement,department_effect_cent_l,14,-0.03446243707688616,-0.03446243707688616,-0.05952602767825792,807,55,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
SP95,code_departement,department_effect_cent_l,15,1.121021009974231,1.121021009974231,2.3665999099455988,569,36,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
SP95,code_departement,department_effect_cent_l,16,-0.4120151563042951,-0.4120151563042951,-1.0712394063911672,304,25,LOW,ESTIMATED,NONE,40.0,True,ACTIVE
SP95,code_departement,department_effect_cent_l,17,-1.2671236574453657,-1.2671236574453657,-2.7578573720869723,526,34,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
SP95,code_departement,department_effect_cent_l,18,0.23538466609793854,0.23538466609793854,0.5043957130670111,542,35,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
SP95,code_departement,department_effect_cent_l,19,-0.095939976598989,-0.095939976598989,-0.24353994059743359,382,26,LOW,ESTIMATED,NONE,40.0,True,ACTIVE
SP95,code_departement,department_effect_cent_l,21,1.7127650817585716,1.7127650817585716,2.873961747357603,831,59,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
SP95,code_departement,department_effect_cent_l,22,-1.2264456438693412,-1.2264456438693412,-2.1349238985873717,749,54,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
