station_id,persistent_station_bias_raw_cent_l,persistent_bias_months,persistent_bias_observations,persistent_station_bias_cent_l,persistent_bias_confidence,persistence_status,fuel,ville,cp,code_departement,code_region
51480001,10.93081143412262,14,14,7.651568003885835,MEDIUM,ELEVATED,SP95,Damery,51480,51,44
51500005,4.0233503227628775,4,4,1.609340129105151,INSUFFICIENT,PROVISIONAL,SP95,LUDES,51500,51,44
51500007,5.323350322762879,6,6,2.6616751613814396,LOW,PROVISIONAL,SP95,LUDES,51500,51,44
51600003,5.323350322762879,9,9,3.194010193657727,LOW,PROVISIONAL,SP95,SUIPPES,51600,51,44
51600004,3.623350322762889,5,5,1.646977419437677,INSUFFICIENT,PROVISIONAL,SP95,SUIPPES,51600,51,44
51700001,-0.9766496772371157,18,18,-0.7324872579278368,HIGH,NORMAL,SP95,DORMANS,51700,51,44
51700007,-5.968087302845438,2,2,-1.4920218257113596,INSUFFICIENT,PROVISIONAL,SP95,DORMANS,51700,51,44
51800001,-16.37664967723713,1,1,-2.339521382462447,INSUFFICIENT,PROVISIONAL,SP95,SAINTE-MENEHOULD,51800,51,44
51800004,3.4233503227628876,16,16,2.4897093256457365,MEDIUM,NORMAL,SP95,SAINTE-MENEHOULD,51800,51,44
52000009,-10.958227449186012,1,1,-1.5654610641694302,INSUFFICIENT,PROVISIONAL,SP95,CHAUMONT,52000,52,44
5200001,-0.6228274506158014,20,20,-0.47909803893523184,HIGH,NORMAL,SP95,Embrun,05200,05,93
5200007,5.077172549384182,20,20,3.9055173456801393,HIGH,NORMAL,SP95,EMBRUN,05200,05,93
52100003,5.24923366217374,20,20,4.037872047825954,HIGH,NORMAL,SP95,Valcourt,52100,52,44
52100009,-2.9496650747943094,20,20,-2.268973134457161,HIGH,NORMAL,SP95,Saint-Dizier,52100,52,44
52100016,-6.985967533424209,1,1,-0.9979953619177442,INSUFFICIENT,PROVISIONAL,SP95,HALLIGNICOURT,52100,52,44
52112001,-2.249665074794331,20,20,-1.7305115959956392,HIGH,NORMAL,SP95,SAINT-DIZIER,52100,52,44
52120002,-5.958227449185995,2,2,-1.4895568622964988,INSUFFICIENT,PROVISIONAL,SP95,CHATEAUVILLAIN,52120,52,44
52130003,4.8917725508139975,18,18,3.668829413110498,HIGH,NORMAL,SP95,WASSY,52130,52,44
52140005,14.941772550814022,1,1,2.1345389358305744,INSUFFICIENT,PROVISIONAL,SP95,Val-de-Meuse,52140,52,44
52150001,4.941772550813992,13,13,3.381212797925363,MEDIUM,NORMAL,SP95,Saint-Thiébault,52150,52,44
52200004,-1.0507663378262655,20,20,-0.8082817983278966,HIGH,NORMAL,SP95,Saints-Geosmes,52200,52,44
5220001,0.7260712863522367,19,19,0.5518141776276999,HIGH,NORMAL,SP95,Le Monêtier-les-Bains,05220,05,93
52220002,-7.108227449185991,2,2,-1.7770568622964977,INSUFFICIENT,PROVISIONAL,SP95,MONTIER-EN-DER,52220,52,44
52300003,-11.608227449185982,2,2,-2.9020568622964955,INSUFFICIENT,PROVISIONAL,SP95,JOINVILLE,52300,52,44
52400001,4.027940138397165,16,16,2.9294110097433927,MEDIUM,NORMAL,SP95,Bourbonne-les-Bains,52400,52,44
52400002,6.027940138397167,16,16,4.383956464288849,MEDIUM,NORMAL,SP95,BOURBONNE-LES-BAINS,52400,52,44
5240003,3.6408700907543174,18,18,2.730652568065738,HIGH,NORMAL,SP95,La Salle-les-Alpes,05240,05,93
5240004,4.591971353786237,7,7,2.472599959731051,LOW,PROVISIONAL,SP95,la salle les alpes,05240,05,93
52500001,6.509856344605572,12,12,4.339904229737048,MEDIUM,NORMAL,SP95,FAYL-BILLOT,52500,52,44
52500002,-1.7364130997145448,12,12,-1.1576087331430298,MEDIUM,NORMAL,SP95,FAYL-BILLOT,52500,52,44
52600001,4.47794013839715,17,17,3.3097818414239804,MEDIUM,NORMAL,SP95,CHALINDREY,52600,52,44
52600002,5.499233662173735,14,14,3.8494635635216143,MEDIUM,NORMAL,SP95,HORTES,52600,52,44
52600004,-0.9396604594018086,20,20,-0.7228157380013912,HIGH,NORMAL,SP95,CHALINDREY,52600,52,44
5260002,1.5260712863522379,20,20,1.1739009895017214,HIGH,NORMAL,SP95,Forest-Saint-Julien,05260,05,93
52800001,1.0779401383971459,19,19,0.8192345051818308,HIGH,NORMAL,SP95,NOGENT,52800,52,44
52800002,5.07794013839715,17,17,3.7532601022935457,MEDIUM,NORMAL,SP95,Nogent,52800,52,44
52800003,4.941772550813992,19,19,3.7557471386186343,HIGH,NORMAL,SP95,Foulain,52800,52,44
53000011,-2.68421543965563,1,1,-0.3834593485222329,INSUFFICIENT,PROVISIONAL,SP95,LAVAL,53000,53,52
5300005,-7.181389825007463,1,1,-1.0259128321439233,INSUFFICIENT,PROVISIONAL,SP95,LARAGNE MONTEGLIN,05300,05,93
53002001,0.7157845603443729,20,20,0.5506035079572099,HIGH,NORMAL,SP95,LAVAL,53000,53,52
53100001,-0.5490142440576673,20,20,-0.42231864927512863,HIGH,NORMAL,SP95,MAYENNE,53100,53,52
53100007,-9.084215439655637,1,1,-1.297745062807948,INSUFFICIENT,PROVISIONAL,SP95,MAYENNE,53100,53,52
53102002,-2.4490142440576688,20,20,-1.8838571108135913,HIGH,NORMAL,SP95,Mayenne,53102,53,52
53120001,-3.8075766184493585,20,20,-2.9289050911148915,HIGH,NORMAL,SP95,Gorron,53120,53,52
53120004,-6.321409030866187,4,4,-2.528563612346475,INSUFFICIENT,PROVISIONAL,SP95,GORRON,53120,53,52
53140001,0.0424233815506615,4,4,0.0169693526202646,INSUFFICIENT,PROVISIONAL,SP95,PRé-EN-PAIL,53140,53,52
