factor,level,effect_cent_l,train_count,fuel,national_median_spread_cent_l
competition_bucket,HIGH,-0.053995743997512974,9,SP95,4.9645261181501255
competition_bucket,LOW,-0.20441254028055506,589,SP95,4.9645261181501255
competition_bucket,MEDIUM,-0.31023990281816183,311,SP95,4.9645261181501255
competition_bucket,VERY_LOW,0.2948960523117293,1479,SP95,4.9645261181501255
isolation_bucket,DENSE,-0.4764700143477464,239,SP95,4.9645261181501255
isolation_bucket,ISOLATED,-0.3392657334652011,740,SP95,4.9645261181501255
isolation_bucket,LOCAL,-0.304521108968392,644,SP95,4.9645261181501255
isolation_bucket,VERY_ISOLATED,0.8281416824663764,765,SP95,4.9645261181501255
code_region,11,0.8911176087181987,451,GAZOLE,13.868521476151852
code_region,24,-0.8205170759877058,323,GAZOLE,13.868521476151852
code_region,27,1.6816116279984041,518,GAZOLE,13.868521476151852
code_region,28,-0.4340386695925752,421,GAZOLE,13.868521476151852
code_region,32,-1.0800087873319812,585,GAZOLE,13.868521476151852
code_region,44,2.250740428014236,589,GAZOLE,13.868521476151852
code_region,52,-1.7146887493380731,396,GAZOLE,13.868521476151852
code_region,53,-1.8626017513701163,421,GAZOLE,13.868521476151852
code_region,75,-1.449161762353744,846,GAZOLE,13.868521476151852
code_region,76,0.9673918691126151,826,GAZOLE,13.868521476151852
code_region,84,1.4084127647317102,964,GAZOLE,13.868521476151852
code_region,93,1.178931459822592,557,GAZOLE,13.868521476151852
code_departement,01,-0.7363271739746967,85,GAZOLE,13.868521476151852
code_departement,02,0.28535921773628314,70,GAZOLE,13.868521476151852
code_departement,03,0.5998807424972723,59,GAZOLE,13.868521476151852
code_departement,04,-0.8554139462219651,38,GAZOLE,13.868521476151852
code_departement,05,-0.8983152746293246,34,GAZOLE,13.868521476151852
code_departement,06,2.8179874392691575,86,GAZOLE,13.868521476151852
code_departement,07,-0.2414040358721766,55,GAZOLE,13.868521476151852
code_departement,08,-0.31265100393461515,36,GAZOLE,13.868521476151852
code_departement,09,0.460041292040539,28,GAZOLE,13.868521476151852
code_departement,10,-0.9688472072321778,52,GAZOLE,13.868521476151852
code_departement,11,0.8491938840479979,71,GAZOLE,13.868521476151852
code_departement,12,-0.13329974564529842,61,GAZOLE,13.868521476151852
code_departement,13,-0.03791352366513425,182,GAZOLE,13.868521476151852
code_departement,14,-0.8399963480727665,88,GAZOLE,13.868521476151852
code_departement,15,-1.0032436688981616,34,GAZOLE,13.868521476151852
code_departement,16,-0.9394875214963861,58,GAZOLE,13.868521476151852
code_departement,17,-0.9331880016316744,89,GAZOLE,13.868521476151852
code_departement,18,1.395472182943852,51,GAZOLE,13.868521476151852
code_departement,19,1.657489770319266,42,GAZOLE,13.868521476151852
code_departement,21,0.22241961870933644,98,GAZOLE,13.868521476151852
code_departement,22,-0.5282843519761133,89,GAZOLE,13.868521476151852
code_departement,23,1.8312601578452397,29,GAZOLE,13.868521476151852
code_departement,24,-0.22293724149844774,77,GAZOLE,13.868521476151852
code_departement,25,1.1046057318948832,84,GAZOLE,13.868521476151852
code_departement,26,-0.8394282236164748,90,GAZOLE,13.868521476151852
code_departement,27,0.1451132846061177,73,GAZOLE,13.868521476151852
code_departement,28,-0.8142379988951882,53,GAZOLE,13.868521476151852
code_departement,29,-0.8912866991904026,118,GAZOLE,13.868521476151852
code_departement,30,1.1232171909279554,106,GAZOLE,13.868521476151852
code_departement,31,-0.10413005178896133,142,GAZOLE,13.868521476151852
code_departement,32,-0.4486513684373975,37,GAZOLE,13.868521476151852
code_departement,33,-1.2375447005843807,156,GAZOLE,13.868521476151852
code_departement,34,0.45455861579311946,123,GAZOLE,13.868521476151852
code_departement,35,-0.6315180364886038,105,GAZOLE,13.868521476151852
code_departement,36,-1.0631188854987015,31,GAZOLE,13.868521476151852
code_departement,37,-1.457747630503755,60,GAZOLE,13.868521476151852
code_departement,38,-0.31641070054876475,136,GAZOLE,13.868521476151852
code_departement,39,0.2611350687542609,57,GAZOLE,13.868521476151852
code_departement,40,0.07385564053886799,84,GAZOLE,13.868521476151852
code_departement,41,-0.6150818345348353,45,GAZOLE,13.868521476151852
code_departement,42,0.817477499152502,89,GAZOLE,13.868521476151852
code_departement,43,0.5860348621722375,40,GAZOLE,13.868521476151852
code_departement,44,-0.8505646534250932,121,GAZOLE,13.868521476151852
code_departement,45,-0.04909698988383346,83,GAZOLE,13.868521476151852
code_departement,46,-1.3697178162138781,41,GAZOLE,13.868521476151852
code_departement,47,-0.3784201496936384,60,GAZOLE,13.868521476151852
code_departement,48,-0.0035556812755704595,29,GAZOLE,13.868521476151852
code_departement,49,-0.7495312031935109,82,GAZOLE,13.868521476151852
code_departement,50,0.2096428711750409,90,GAZOLE,13.868521476151852
code_departement,51,-1.8221482847270252,58,GAZOLE,13.868521476151852
code_departement,52,-0.1767001534935943,39,GAZOLE,13.868521476151852
code_departement,53,0.17020301144186076,38,GAZOLE,13.868521476151852
code_departement,54,-0.7963247176820188,67,GAZOLE,13.868521476151852
code_departement,55,-0.3159174962815722,29,GAZOLE,13.868521476151852
code_departement,56,-0.6317760655420994,109,GAZOLE,13.868521476151852
code_departement,57,0.6806339136351707,93,GAZOLE,13.868521476151852
code_departement,58,0.3800195972608137,49,GAZOLE,13.868521476151852
code_departement,59,-0.7341830167641406,180,GAZOLE,13.868521476151852
code_departement,60,0.3337687859958307,82,GAZOLE,13.868521476151852
