fuel,factor,effect_column,level,effect_cent_l,raw_effect_cent_l,n_obs,n_stations,confidence,shrinkage_stations
SP95,code_departement,department_effect_cent_l,09,0.2874091976372486,1.1717451903672442,199,13,LOW,40.0
SP95,code_departement,department_effect_cent_l,10,0.38667342493397694,0.8553684854600097,493,33,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,11,0.2202936284694738,0.5466545595353609,378,27,LOW,40.0
SP95,code_departement,department_effect_cent_l,12,0.11910286733552726,0.2073272135099919,913,54,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,13,-0.370536242742976,-0.5512856294468668,1011,82,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,14,-0.02078121440828582,-0.03589482488703914,807,55,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,15,1.1041194897829882,2.330918922875197,569,36,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,16,-0.4070955225155894,-1.0584483585405324,304,25,LOW,40.0
SP95,code_departement,department_effect_cent_l,17,-1.2730223632697386,-2.7706957318223724,526,34,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,18,0.20667141952191562,0.442867327546962,542,35,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,19,-0.10144145430819294,-0.2575052301669513,382,26,LOW,40.0
SP95,code_departement,department_effect_cent_l,21,1.712219013947551,2.873045464081484,831,59,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,22,-1.2466991411818946,-2.1701799865018163,749,54,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,23,0.07951282784959222,0.23853848354877666,315,20,LOW,40.0
SP95,code_departement,department_effect_cent_l,24,0.2829745918713424,0.4925854006649294,882,54,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,25,-0.44585396695453267,-0.7888185569195578,868,52,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,26,-0.3241641867055623,-0.6328919835680026,622,42,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,27,-0.41768897264215343,-0.835377945284307,503,40,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,28,-1.1988198083725972,-3.1169315017687524,403,25,LOW,40.0
SP95,code_departement,department_effect_cent_l,29,-1.1189241001505994,-1.6162237002175324,1437,90,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,30,0.18507534761346578,0.31727202448022707,868,56,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,31,-0.2368511424803281,-0.37825480963276276,959,67,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,32,0.1282713351817619,0.3725976879089274,290,21,LOW,40.0
SP95,code_departement,department_effect_cent_l,33,-0.5401898380972135,-0.7584483585405322,1390,99,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,34,-0.42119679127256593,-0.7581542242906186,679,50,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,35,-0.7714341771636087,-1.2612336547278047,977,63,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,36,-0.16333994756702314,-0.41463217459321255,391,26,LOW,40.0
SP95,code_departement,department_effect_cent_l,37,-0.9403513857274413,-1.7079851699947404,634,49,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,38,-0.6729411208091663,-1.022520923826915,970,77,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,39,0.19230704193482845,0.3632466347657871,599,45,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,40,0.02231175363350217,0.03853848354877648,847,55,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,41,-0.028993919681319775,-0.07041380494034802,441,28,LOW,40.0
SP95,code_departement,department_effect_cent_l,42,0.5294271816356834,0.9075894542326001,930,56,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,43,0.062469920787118965,0.1457631485032776,466,30,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,44,-1.5362477398809677,-2.4141035912415205,939,70,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,45,-0.12618870909753305,-0.2590189292001994,531,38,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,46,-0.22707340556064373,-0.8326024870556936,185,15,LOW,40.0
SP95,code_departement,department_effect_cent_l,47,-0.42153605469410466,-0.7802901437954703,795,47,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,48,0.900738563445942,3.3027080659684542,235,15,LOW,40.0
SP95,code_departement,department_effect_cent_l,49,-0.3811662576989705,-0.7932378876438034,584,37,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,50,-0.27843189686744846,-0.44465989499726843,975,67,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,51,-0.24608898277381547,-0.5976446724506947,368,28,LOW,40.0
SP95,code_departement,department_effect_cent_l,52,1.4680973007397902,4.137365120266681,281,22,LOW,40.0
SP95,code_departement,department_effect_cent_l,53,-0.17435322634232364,-0.3922947592702282,500,32,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,54,0.9041492804151826,1.8558853650627434,499,38,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,55,0.20980736435811556,0.8553684854600097,219,13,LOW,40.0
SP95,code_departement,department_effect_cent_l,56,-0.8219590584471522,-1.2916499489883821,1066,70,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,57,0.05639046111534561,0.1015028300076221,660,50,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,58,1.904759624526793,4.021159207334341,508,36,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,59,-0.8257133242626392,-1.2491560546537361,925,78,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,60,-0.24817887562819968,-0.43201507979723647,790,54,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,61,-0.33624170021965294,-0.7438073974555959,550,33,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,62,-0.864806532410812,-1.1942566399958832,1308,105,HIGH,40.0
SP95,code_departement,department_effect_cent_l,63,-0.10957015424554697,-0.20484854924167478,658,46,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,64,0.22084630900414606,0.37859367257853616,884,56,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,65,0.35650286914124624,1.0695086074237388,243,20,LOW,40.0
SP95,code_departement,department_effect_cent_l,66,-0.4582750868355635,-1.1372011414067686,388,27,LOW,40.0
SP95,code_departement,department_effect_cent_l,67,-1.2693109658159243,-2.3270701039958612,618,48,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,68,-0.22382869368808891,-0.45339658465023136,568,39,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,69,0.3750422661638649,0.6094436825162804,1017,64,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,70,-0.6018990798726501,-1.5278976642921116,378,26,LOW,40.0
SP95,code_departement,department_effect_cent_l,71,0.014164428050251343,0.02115920733432608,1326,81,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,72,-0.536955040937987,-0.9422041284383544,671,53,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,73,-0.2607165160521672,-0.5090179599113741,595,42,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,74,1.2517264910845998,2.100354620633481,815,59,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,75,1.676740196315611,11.25811274669053,18,7,INSUFFICIENT,40.0
SP95,code_departement,department_effect_cent_l,76,-0.4721085726085541,-0.7081628589128312,1226,80,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,77,-0.06611175485330419,-0.10617948506742794,883,66,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,78,0.42419081693785754,0.8098188323359099,555,44,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,79,-0.9501470638202991,-2.137830893595673,483,32,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,80,-0.29387753884622436,-0.5952903992013263,473,39,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,81,0.5236050815859595,1.2217451903672387,448,30,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,82,-0.062291135005956094,-0.16610969334921624,388,24,LOW,40.0
SP95,code_departement,department_effect_cent_l,83,-0.2360862010791212,-0.38598220176427755,885,63,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,84,0.06888420804683397,0.13953467783845858,423,39,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,85,0.7188331084738193,1.3577958715616587,724,45,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,86,0.05949271887426942,0.14155164145946864,429,29,LOW,40.0
SP95,code_departement,department_effect_cent_l,87,-0.2769962828331498,-0.5764517237338523,632,37,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,88,0.002505293214668203,0.005368485460003292,469,35,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,89,1.946720550635268,3.943357012825287,566,39,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,90,-0.23739329792392921,-1.1869664896196461,140,10,LOW,40.0
SP95,code_departement,department_effect_cent_l,91,-0.19091943109948992,-0.39188725330947927,611,38,MEDIUM,40.0
SP95,code_departement,department_effect_cent_l,92,0.10491235013300168,0.5711894618352313,59,9,INSUFFICIENT,40.0
SP95,code_departement,department_effect_cent_l,93,0.02121576466479347,0.058112746690521244,290,23,LOW,40.0
SP95,code_departement,department_effect_cent_l,94,0.021492494671689052,0.08289962230508635,192,14,LOW,40.0
SP95,code_departement,department_effect_cent_l,95,0.24756905288787495,0.7427071586636249,268,20,LOW,40.0
SP95,road_type,road_effect_cent_l,AUTOROUTE,-0.8693386967943136,-2.8451084622359355,186,44,MEDIUM,100.0
SP95,road_type,road_effect_cent_l,ROUTE,-0.7673922969747032,-0.7868052060810706,57182,3953,HIGH,100.0
SP95,competition_bucket,competition_effect_cent_l,HIGH,0.3264526603606317,0.8705404276283513,415,48,MEDIUM,80.0
SP95,competition_bucket,competition_effect_cent_l,LOW,0.41095713193123184,0.43268652423427123,15008,1513,HIGH,80.0
SP95,competition_bucket,competition_effect_cent_l,MEDIUM,0.025602368284731045,0.028020537662273526,9089,847,HIGH,80.0
SP95,competition_bucket,competition_effect_cent_l,VERY_LOW,0.8052253718318598,0.8304379079361843,32856,2555,HIGH,80.0
SP95,isolation_bucket,isolation_effect_cent_l,DENSE,0.5829667575364441,0.6287974774685545,7018,636,HIGH,50.0
SP95,isolation_bucket,isolation_effect_cent_l,ISOLATED,0.11648963414595133,0.1202328743177364,17620,1556,HIGH,50.0
SP95,isolation_bucket,isolation_effect_cent_l,LOCAL,-0.18566161606256487,-0.19254306958601058,16579,1349,HIGH,50.0
SP95,isolation_bucket,isolation_effect_cent_l,VERY_ISOLATED,0.6598167077481045,0.6828389236499923,16151,1433,HIGH,50.0
SP95,accessibility_class,logistics_premium_cent_l,FERRY_ISLAND,2.211183837809261,24.323022215901872,3,1,INSUFFICIENT,10.0
SP95,accessibility_class,logistics_premium_cent_l,MAINLAND,0.0,0.0,56021,3947,HIGH,10.0
SP95,accessibility_class,logistics_premium_cent_l,REMOTE_ISOLATED,1.5137500896551053,1.592182736787494,1243,193,HIGH,10.0
SP95,accessibility_class,logistics_premium_cent_l,ROAD_CONNECTED_ISLAND,0.0,-3.9993562619774634,101,6,INSUFFICIENT,10.0
